year;respondent;judge
2018;MKD;ILIEVSKI
2019;MKD;ILIEVSKI
2020;MKD;ILIEVSKI
1990;NOR;RYSSDAL (president)
1991;NOR;RYSSDAL (president)
1992;NOR;RYSSDAL (president)
1993;NOR;RYSSDAL (president)
1994;NOR;RYSSDAL (president)
1995;NOR;RYSSDAL (president)
1996;NOR;RYSSDAL (president)
1997;NOR;RYSSDAL (president)
1998;NOR;
1999;NOR;GREVE
2000;NOR;GREVE
2001;NOR;GREVE
2002;NOR;GREVE
2003;NOR;GREVE
2004;NOR;
2005;NOR;JEBENS
2006;NOR;JEBENS
2007;NOR;JEBENS
2008;NOR;JEBENS
2009;NOR;JEBENS
2010;NOR;JEBENS
2011;NOR;
2012;NOR;MOSE
2013;NOR;MOSE
2014;NOR;MOSE
2015;NOR;MOSE
2016;NOR;MOSE
2017;NOR;MOSE
2018;NOR;MOSE
2019;NOR;BARDENS
2020;NOR;BARDENS
1992;POL;MAKARCZYK
1993;POL;MAKARCZYK
1994;POL;MAKARCZYK
1995;POL;MAKARCZYK
1996;POL;MAKARCZYK
1997;POL;MAKARCZYK
1998;POL;MAKARCZYK
1999;POL;MAKARCZYK
2000;POL;MAKARCZYK
2001;POL;MAKARCZYK
2002;POL;
2003;POL;GARLICKI
2004;POL;GARLICKI
2005;POL;GARLICKI
2006;POL;GARLICKI
2007;POL;GARLICKI
2008;POL;GARLICKI
2009;POL;GARLICKI
2010;POL;GARLICKI
2011;POL;GARLICKI
2012;POL;
2013;POL;WOJTYCZEK
2014;POL;WOJTYCZEK
2015;POL;WOJTYCZEK
2016;POL;WOJTYCZEK
2017;POL;WOJTYCZEK
2018;POL;WOJTYCZEK
2019;POL;WOJTYCZEK
2020;POL;WOJTYCZEK
1990;PRT;PINHEIRO FARINHA
1991;PRT;
1992;PRT;LOPES ROCHA
1993;PRT;LOPES ROCHA
1994;PRT;LOPES ROCHA
1995;PRT;LOPES ROCHA
1996;PRT;LOPES ROCHA
1997;PRT;LOPES ROCHA
1998;PRT;
1999;PRT;CABRAL BARRETO
2000;PRT;CABRAL BARRETO
2001;PRT;CABRAL BARRETO
2002;PRT;CABRAL BARRETO
2003;PRT;CABRAL BARRETO
2004;PRT;CABRAL BARRETO
2005;PRT;CABRAL BARRETO
2006;PRT;CABRAL BARRETO
2007;PRT;CABRAL BARRETO
2008;PRT;CABRAL BARRETO
2009;PRT;CABRAL BARRETO
2010;PRT;CABRAL BARRETO
2011;PRT;
2012;PRT;PINTO DE ALBUQUERQUE
2013;PRT;PINTO DE ALBUQUERQUE
2014;PRT;PINTO DE ALBUQUERQUE
2015;PRT;PINTO DE ALBUQUERQUE
2016;PRT;PINTO DE ALBUQUERQUE
2017;PRT;PINTO DE ALBUQUERQUE
2018;PRT;PINTO DE ALBUQUERQUE
2019;PRT;PINTO DE ALBUQUERQUE
2020;PRT;
1996;ROU;VOICU
1997;ROU;VOICU
1998;ROU;
1999;ROU;BIRSAN
2000;ROU;BIRSAN
2001;ROU;BIRSAN
2002;ROU;BIRSAN
2003;ROU;BIRSAN
2004;ROU;BIRSAN
2005;ROU;BIRSAN
2006;ROU;BIRSAN
2007;ROU;BIRSAN
2008;ROU;BIRSAN
2009;ROU;BIRSAN
2010;ROU;BIRSAN
2011;ROU;BIRSAN
2012;ROU;BIRSAN
2013;ROU;BIRSAN
